title,,brand,price,categories
"HyperX Cloud Alpha - Gaming Headset, Dual Chamber Drivers, Legendary Comfort, Aluminum Frame, Detachable Microphone, Works on PC, PS4, PS5, Xbox One/ Series X|S, Nintendo Switch and Mobile – Red",,HyperX,77.99,"[""Video Games"",""PC"",""Accessories"",""Headsets""]"
Razer BlackWidow V3 Mini HyperSpeed 65% Wireless Mechanical Gaming Keyboard: Green Mechanical Switches Tactile & Clicky - Phantom Pudding Keycaps - Chroma RGB - Up to 200 Hr Battery - Snap Tap,,Razer,99.99,"[""Video Games"",""PC"",""Accessories"",""Gaming Keyboards""]"
"Caldera + Lab The Good | Men's Organic Moisturizing Face Serum for Dry, Sensitive, & Normal Skin – Vegan, Natural & Antioxidant Packed Skincare Facial Oil",,Caldera + Lab,99,"[""Beauty & Personal Care"",""Skin Care"",""Face"",""Treatments & Masks"",""Serums""]"
"Logitech G335 Wired Gaming Headset, with Flip to Mute Microphone, 3.5mm Audio Jack, Memory Foam Earpads, Lightweight, Compatible with PC, PlayStation, Xbox, Nintendo Switch - Black",,Logitech G,47.99,"[""Video Games"",""PC"",""Accessories"",""Headsets""]"
"TEXAS LINEN CO. Luxury Egyptian Cotton Queen Size Sheet Set - 600 Thread Count 4 PC Deep Pocket Fitted and Flat Sheets, Soft, Cooling Extra Long Staple Hotel-Quality Bedding with Sateen Weave - White",,TEXAS LINEN CO.,59.99,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Sheet & Pillowcase Sets""]"
"Razer Barracuda X Wireless Gaming & Mobile Headset (PC, PlayStation, Switch, Android, iOS): 2.4GHz Wireless + Bluetooth - Lightweight - 40mm Drivers - Detachable Mic - 50 Hr Battery - Black",,Razer,79.99,"[""Video Games"",""PC"",""Accessories"",""Headsets""]"
Razer Orochi V2 Mobile Wireless Gaming Mouse: Ultra Lightweight - 2 Wireless Modes - Up to 950hrs Battery Life - Mechanical Mouse Switches - 5G Advanced 18K DPI Optical Sensor - White,,Razer,44.99,"[""Video Games"",""PC"",""Accessories"",""Gaming Mice""]"
"THREAD SPREAD King Size Fitted Sheet Only - 100% Egyptian Cotton 600 Thread Count Deep Pocket King Fitted Sheet, Fitted Sheet King Size, Soft Sateen Bottom Sheet, Fits Mattress Upto 18""- Taupe",,THREAD SPREAD,34.99,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Fitted Sheets""]"
"Linenwalas Eucalyptus Tencel Bed Sheet Set Queen Size 4Pc - Silver Bedding Lyocell 16"" Deep Pocket Sheets - Soft Breathable & Cooling Sheets Set for Hot Sleepers (Queen, Silver)",,Linenwalas,59.99,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Sheet & Pillowcase Sets""]"
"Carressa Linen 100% Egyptian Cotton Sheets - 600 Thread Count 4 PC Queen Size Sheet Set, Soft, Cooling, High Thread Count Sateen, Extra Long Staple Luxury Bedding, 16 in Deep Pocket - Beach Sand",,Carressa Linen,59.99,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Sheet & Pillowcase Sets""]"
"Logitech G PRO X Superlight 2 DEX Lightspeed Wireless Gaming Mouse, 60g Pro-Grade Lightweight Mouse with 5 Programmable Buttons, 44k DPI Sensor, USB-C Charging, for PC/Mac - Black",,Logitech G,159,"[""Video Games"",""PC"",""Accessories"",""Gaming Mice""]"
"THREAD SPREAD 100% Organic Cotton Bed Sheet Set - Crisp and Cooling Percale Weave, Soft Breathable, Eco-Friendly, 4 Piece Bedding Set, Deep Pocket with All-Around Elastic, (Queen, White)",,THREAD SPREAD,47.99,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Sheet & Pillowcase Sets""]"
"Turtle Beach Stealth 700 Gen 3 Wireless Multiplatform Amplified Gaming Headset for Xbox Series X|S, Xbox One, PC, PS5, Mobile – 60mm Drivers, AI Noise-Cancelling Mic, Bluetooth, 80-Hr Battery – Cobalt",,Turtle Beach,165.35,"[""Video Games"",""Xbox One"",""Accessories"",""Headsets""]"
"Linen Home 100% Cotton Percale Sheets Queen Size, White, Deep Pocket, 4 Pieces Set - 1 Flat, 1 Deep Pocket Fitted Sheet and 2 Pillowcases, Crisp Cool and Strong Bed Linen",,Linen Home,37.99,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Sheet & Pillowcase Sets""]"
"Poly Voyager Surround 80 UC Bluetooth Headset (Plantronics) – Noise-Canceling Mics for Clear Calls – Adaptive ANC – Works w/iPhone, Android, PC/Mac, Zoom, Microsoft Teams (Certified) –Amazon Exclusive",,Poly,290.15,"[""Electronics"",""Computers & Accessories"",""Computer Accessories & Peripherals"",""Cables & Accessories"",""Cables & Interconnects"",""USB Cables""]"
"Paris Hilton Enameled Cast Iron Dutch Oven Heart-Shaped Pot with Lid, Dual Handles, Works on All Stovetops, Oven Safe to 500°F, 2-Quart, Pink",,Paris Hilton,27.99,"[""Home & Kitchen"",""Kitchen & Dining"",""Cookware"",""Pots & Pans"",""Dutch Ovens""]"
SteelSeries Apex Pro HyperMagnetic Gaming Keyboard — Adjustable Actuation — OLED Screen — RGB – USB Passthrough​,,SteelSeries,194.41,"[""Video Games"",""PC"",""Accessories"",""Gaming Keyboards""]"
"LEGO Disney Frozen Elsa’s Frozen Princess Castle Building Toys Set - Frozen Toys for Kids, Girls & Boys, Ages 4+ - Birthday Gift Idea - 43238",,LEGO,35.99,"[""Toys & Games"",""Building Toys"",""Building Sets""]"
"PopSockets Phone Grip Compatible with MagSafe, Phone Holder, Wireless Charging Compatible, Star Wars-Jedi Icon",,PopSockets,35,"[""Cell Phones & Accessories"",""Accessories"",""Grips""]"
Japanese Street View Baozi Shop Building Blocks Toy - 1155PCS Mini Brick Simulation Architecture Construction Toy,,RAVAYO,36.8,"[""Toys & Games"",""Building Toys"",""Building Sets""]"
Paladone Millennium Falcon Posable Desk Lamp - Officially Licensed Disney Star Wars Merchandise - Star Wars Light Decor and Gifts for Men,,Paladone,51.99,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Lamps & Shades"",""Desk Lamps""]"
Yaheetech 30 Inches Metal Bar Stools High Backless Stools Bar Height Stools Patio Furniture Indoor/Outdoor Stackable Kitchen Stools Dining Chair Set of 4,,Yaheetech,119.99,"[""Home & Kitchen"",""Furniture"",""Game & Recreation Room Furniture"",""Home Bar Furniture"",""Barstools""]"
Marvel Super Hero Mashers Thor and Guardians of The Galaxy Pack,,Hasbro,7.99,"[""Toys & Games"",""Toy Figures & Playsets"",""Action Figures""]"
"Alpine Corporation WCT202 Indoor Tabletop Tiered Water Fountain Featuring 3 Candles for Desktop and Table, 11"", Brown",,Alpine Corporation,29.96,"[""Home & Kitchen"",""Home Décor Products"",""Indoor Fountains & Accessories"",""Tabletop Fountains""]"
"Yaheetech PU Leather Armchair, Retro Leisure Accent Chair with Extra Soft Padded and Cushion, Modern Reading Arm Chair with Black Metal Frame for Living Room/Office/Bedroom/Study, Light Brown",,Yaheetech,157.68,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Chairs""]"
"LEGO Classic Creative Suitcase 10713 - Includes Sorting Storage Organizer Case with Fun Colorful Building Bricks, Preschool Learning Toy for Kids, Boys and Girls Ages 4 Years Old and Up",,LEGO,13.79,"[""Toys & Games"",""Building Toys"",""Building Sets""]"
"Mickey Mouse Collectible Figure Set, 5 Pack, Kids Toys for Ages 3 Up by Just Play",,Just Play,12.99,"[""Toys & Games"",""Toy Figures & Playsets"",""Action Figures""]"
"SONGMICS Accent Leisure Chair, Mid-Century Modern Arm Chair with Solid Wood Armrests and Legs, 1-Seat Cushioned Sofa for Living Room Bedroom Balcony Studio, Olive Green ULAC001C01",,SONGMICS,129.99,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Chairs""]"
"Yaheetech Modern Armchair, Mid Century Accent Sofa Chair with Sturdy Wood Legs and High Back, Upholstered Fabric Sofa Club Chair for Living Room/Bedroom/Office, Yellow",,Yaheetech,119.99,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Chairs""]"
Riveira Star War Gifts Home Decor Wooden Spoons For Cooking Utensils Set 6-piece Starwars Gifts Kitchen Utensils Spatulas For Nonstick Cookware Gift House Warming Presents Fun Finds For Men And Women,,Riveira,9.99,"[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen Utensils & Gadgets"",""Cooking Utensils"",""Cooking Spoons""]"
"Doctor Butler’s Hemorrhoid & Fissure Ointment – Hemorrhoid Treatment and Hemorrhoid Cream with Lidocaine and Phenylephrine HCI for Fast Acting Relief of Pain, Swelling, Discomfort, and Itching (1 oz.)",,Doctor Butler's,29.95,"[""Health & Household"",""Health Care"",""Over-the-Counter Medication"",""Pain Relievers"",""Hemorrhoid Care""]"
"Bell Disney Frozen Pad and Glove Set, Frozen Pad & Glove Set",,BELL,15.1,"[""Sports & Outdoors"",""Sports"",""Skates, Skateboards & Scooters"",""Protective Gear""]"
"Disney Frozen II 6 Bin Design and Store Toy Organizer by Delta Children, Greenguard Gold Certified",,Delta Children,30,"[""Baby Products"",""Nursery"",""Furniture"",""Storage & Organization"",""Toy Chests & Organizers""]"
"Imodium A-D Liquid Anti-Diarrheal Medicine with Loperamide Hydrochloride to Help Control Symptoms of Diarrhea Due to Acute, Active & Traveler's Diarrhea, Mint Flavor, 8 fl. oz",,Imodium,8.83,"[""Health & Household"",""Health Care"",""Over-the-Counter Medication"",""Digestion & Nausea"",""Diarrhea Relief""]"
VINGLI Accent Chairs for Living Room Chairs Reading Chair Mid Century Modern Chair Soft Chenille Sofa Chair Upholstered Arm Chair Comfy Chair Side Chair (Light Grey Chenille),,VINGLI,159.99,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Chairs""]"
"Meat Thermometer Digital, Instant Read Food Thermometer - Waterproof w/Backlight for Cooking, Candy, Deep Fry, BBQ, Grill, Smoker and Roast, Camping & Kitchen Essentials",,AMMZO,14.98,"[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen Utensils & Gadgets"",""Thermometers & Timers"",""Candy""]"
Homepop Home Decor | Upholstered Anywhere Dining Chair | Accent Chairs for Living Room & Bedroom | Decorative Home Furniture (Blue Demask),,HomePop,134.99,"[""Home & Kitchen"",""Furniture"",""Dining Room Furniture"",""Chairs""]"
"Jay Franco Toy Story - 3 Piece Kids travel set Includes Blanket, Pillow, & Plush - Featuring Woody (Offical disney pixar Product)",,Jay Franco,27.99,"[""Toys & Games"",""Stuffed Animals & Plush Toys"",""Plush Pillows""]"
"BestOffice Bar Stools Set of 2, Adjustable Swivel Bar Stools, Counter Height Bar Stools with Back PU Leather Armless Hydraulic Kitchen Counter Bar Stool (Black)",,BestOffice,60.99,"[""Home & Kitchen"",""Furniture"",""Game & Recreation Room Furniture"",""Home Bar Furniture"",""Barstools""]"
Pepto-Bismol Regular Strength Liquid - Total: 32 oz (16 oz X 2),,Pepto Bismol,13.48,"[""Health & Household"",""Health Care"",""Over-the-Counter Medication"",""Digestion & Nausea"",""Diarrhea Relief""]"
"LEGO Jurassic World Baby Bumpy: Ankylosaurus Dinosaur Toy for Camp Cretaceous Fans and Kids Aged 7 Plus, Fun Build-a-Dinosaur Jurassic Park Toy for Boys and Girls, Animal Toy Playset, 76962",,LEGO,24.95,"[""Toys & Games"",""Building Toys"",""Building Sets""]"
"Marvel Champions The Card Game The Mad Titan’s Shadow CAMPAIGN EXPANSION - Cooperative Strategy Game for Kids and Adults, Ages 14+, 1-4 Players, 45-90 Minute Playtime, Made by Fantasy Flight Games",,Asmodee,38.68,"[""Toys & Games"",""Games & Accessories"",""Card Games"",""Dedicated Deck Card Games""]"
"HOOBRO Bar Stools, 24"" Set of 2 Bar Chairs, PU Leather Upholstered Breakfast Stools, Easy Assembly, Suitable for Kitchen, Bar, Dining Room, Black BB01MD01",,HOOBRO,53.99,"[""Home & Kitchen"",""Furniture"",""Game & Recreation Room Furniture"",""Home Bar Furniture"",""Barstools""]"
"Northwest Mickey Mouse Micro Raschel Throw Blanket, 46"" x 60"", This is Mickey",,NORTHWEST,17.47,"[""Home & Kitchen"",""Bedding"",""Kids' Bedding"",""Blankets & Throws"",""Throws""]"
"LEGO City Arctic Explorer Ship 60368 Building Toy Set, Fun Toy Gift for 7 Year Old Boys and Girls, with a Floatable Boat, Helicopter, Dinghy, ROV Sub, Viking Shipwreck, 7 Minifigures and an Orca",,LEGO,153.99,"[""Toys & Games"",""Building Toys"",""Building Sets""]"
"Pepto Bismol Liquid for Nausea, Heartburn, Indigestion, Upset Stomach and Diarrhea Relief, Cherry Flavor 8 oz",,Pepto Bismol,8.49,"[""Health & Household"",""Health Care"",""Over-the-Counter Medication"",""Digestion & Nausea"",""Diarrhea Relief""]"
"Lip Smacker Marvel Guardians of the Galaxy Party Pack - Hydrating Lip Balm, Hydrating & Protecting - Cruelty-Free",,Lip Smacker,8.96,"[""Beauty & Personal Care"",""Skin Care"",""Lip Care"",""Balms & Moisturizers""]"
"Robot Vacuum and Mop Combo, Automatic Vacuum Robot Powerful Suction, Zigzag Cleaning, Self Charging, Ideal for Pet Hair, Hard Floors, Wood Floors, Carpets, 550ml Dustbin, App/Remote/Alexa Control",,Bagotte,159.99,"[""Home & Kitchen"",""Vacuums & Floor Care"",""Vacuums"",""Robotic Vacuums""]"
"Zygomatic Spot It! Marvel Emojis (Eco-Blister) - Marvel Super Heroes Family Card Game for Superhero Fun! Fast-Paced Matching Game for Kids and Adults, Ages 6+, 2-8 Players, 15 Minute Playtime, Made",,Asmodee,7.97,"[""Toys & Games"",""Games & Accessories"",""Card Games"",""Dedicated Deck Card Games""]"
"annjoe Faux Leather Accent Arm Chairs for Living Room Leisures/ Upholstered Chair with Metal Legs Set of 2 for Home Kitchen Office Bistro Cafe, Brown",,annjoe,159.99,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Chairs""]"
"LEGO Technic Heavy-Duty Bulldozer Building Set, Kids’ Construction Toy, Vehicle Gift for Boys and Girls Ages 7 and Up, 42163",,LEGO,9.99,"[""Toys & Games"",""Building Toys"",""Building Sets""]"
"Star Wars Sticky Note Ball - 300 Adhesive Pentagon-Shaped Sheets, 12 Uniquely Designed 25 Sheets Per Pad, Each Measures 1.5"" x 1.5"", Versatile Notes by Erin Condren.",,Erin Condren,16.99,"[""Office Products"",""Office & School Supplies"",""Paper"",""Notebooks & Writing Pads"",""Self-Stick Notes""]"
"Hillsdale Fairfox Swivel Stool with Rectangular Lattice Back, Counter Height, White",,Hillsdale,110.49,"[""Home & Kitchen"",""Furniture"",""Game & Recreation Room Furniture"",""Home Bar Furniture"",""Barstools""]"
"LEGO NINJAGO Heatwave Transforming Lava Dragon 71793 Building Toy Set, Features a Ninja Dragon, a Hovercraft Vehicle and 5 Minifigures, Lava Dragon Toy for Kids Ages 8+ Who Love Ninja Adventures",,LEGO,54.99,"[""Toys & Games"",""Building Toys"",""Building Sets""]"
"Alpine Corporation 18"" Glass Birdbath Topper with Purple Dragonfly Painted Finish",,Alpine Corporation,36.59,"[""Patio, Lawn & Garden"",""Outdoor Décor"",""Backyard Birding & Wildlife"",""Birds"",""Birdbaths & Supports"",""Birdbaths""]"
FDW Metal Bar Stool Set of 4 Counter Height Barstool with Back 24 Inches Seat Height Industrial Bar Chairs Patio Stool Stackable Modern Kitchen Stool Indoor Outdoor(Black),,FDW,129.99,"[""Patio, Lawn & Garden"",""Patio Furniture & Accessories"",""Patio Seating"",""Stools & Bar Chairs""]"
"Tapo Ultra-Slim LiDAR Smart Navigation Robot Vacuum and Mop with Self-Emptying Dock, 5300Pa Max, 97%+ Dust Pickup Rate, Self-Charging, Compatible with Alexa & Google Home, RV20 Max Plus",,Tapo,199.99,"[""Home & Kitchen"",""Vacuums & Floor Care"",""Vacuums"",""Robotic Vacuums""]"
"HOOBRO Bar Stools Set of 2, Counter Height Bar Stools, 25.8"" Bar Stools for Kitchen Island, Industrial Kitchen Bar Chairs, for Dining Room, Kitchen, Bar, Greige and Black BG07BY01G1",,HOOBRO,49.99,"[""Home & Kitchen"",""Furniture"",""Game & Recreation Room Furniture"",""Home Bar Furniture"",""Barstools""]"
"Pepto Bismol Chewable Tablets for Nausea, Heartburn, Indigestion, Upset Stomach, and Diarrhea - 5 Symptom Fast Relief, Original Flavor, 48 ct",,Pepto Bismol,8.45,"[""Health & Household"",""Health Care"",""Over-the-Counter Medication"",""Digestion & Nausea"",""Diarrhea Relief""]"
"Disney Junior Mickey Mouse Funhouse Transforming Vehicle, Mickey Mouse, Red Toy Car, Preschool, Officially Licensed Kids Toys for Ages 3 Up by Just Play",,Just Play,11.99,"[""Toys & Games"",""Vehicles"",""Cars & Race Cars""]"
"MELLCOM Floral Accent Chair, High Back Upholstered Armchair with Solid Legs, Leisure Single Sofa Chair for Living Room, Bedroom, Home Office, Blue Floral",,MELLCOM,189.99,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Chairs""]"
"COMHOMA Mid Century Modern Accent Chair, Upholstered Living Room Chairs with Solid Wood Armrest, Comfy Reading Armchair for Bedroom, Sunroom, Balcony (Straight Armrests, White)",,COMHOMA,109.99,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Chairs""]"
"BestOffice Bar Stools Set of 2, Counter Height Adjustable Bar Stools with Back Bar Stool PU Leather Swivel Bar Stool Kitchen Counter Bar Stools Dining Chairs",,BestOffice,39.99,"[""Home & Kitchen"",""Furniture"",""Game & Recreation Room Furniture"",""Home Bar Furniture"",""Barstools""]"
"Lip Smacker Marvel Avenger Flavored Lip Balm Party Pack 8 Count, Super Hero, Spirderman, Iron Man, Captain America, Clear, For Kids",,Lip Smacker,4.99,"[""Beauty & Personal Care"",""Skin Care"",""Lip Care"",""Balms & Moisturizers""]"
"Vermont Teddy Bear Super Soft Almond Brown Teddy Bear - 18 Inch Plush Stuffed Animal to Sleep with, Cozy Bear Plush, Perfect Valentine’s Day Gift for Kids & Adults, Crafted in The USA",,Vermont Teddy Bear,37.99,"[""Toys & Games"",""Stuffed Animals & Plush Toys"",""Stuffed Animals & Teddy Bears""]"
"CHITA Braid Armchair, Modern Accent Chair for Living Room, Cream",,CHITA,289.99,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Chairs""]"
"Metal Swivel Barstools Set of 2, Enlarged PU Leather Seat with Metal Back, Adjustable from 24"" to 33"" for Counter Height & Bar Height, Modern Design for Kitchen and Restaurant,MatteBlack",,Raynesys,109.99,"[""Home & Kitchen"",""Furniture"",""Game & Recreation Room Furniture"",""Home Bar Furniture"",""Barstools""]"
"Large Modern Sling Accent Chair with Warm Plush Cushion, Black Metal Frame, Brown Faux Leather Armrests, Mid-Century Cozy Lounge Chair for Living Room, Bedroom, Office, White",,YONGSEN FURNITURE,80,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Chairs""]"
Frozen Imagine Ink | Disney Frozen Book | Frozen Coloring Activity Book | Elsa & Anna Coloring Book + Mess Free Marker | Officially Licensed,,Bendon,7.99,"[""Toys & Games"",""Arts & Crafts"",""Drawing & Painting Supplies"",""Coloring Pens & Markers""]"
"Bar Stools Set of 2, Adjustable Swivel Bar Chairs with Shell Back, PU Leather Counter Height Bar Stools for Kitchen lsland, Black",,ERGOSEAT,89.99,"[""Home & Kitchen"",""Furniture"",""Game & Recreation Room Furniture"",""Home Bar Furniture"",""Barstools""]"
